"ST_CASE","PERSONS","FATALS","ROUTE","MAN_COLL","LGT_COND","WEATHERlight","BODY_TYP","AGE","INJ_SEV","DRINKING","TRAV_SP","L_TYPE","VSPD_LIM","fata_rate"
121395,2,1,"highway","front","dark","light","small",20,"injured","NO",35,"Licensed",35,50.00
121404,5,3,"LOCAL","side","dark","light","small",25,"injured","Yes",65,"Licensed",65,60.00
121412,4,1,"LOCAL","front","light","light","small",25,"injured","NO",50,"Licensed",55,25.00
121417,3,1,"LOCAL","front","light","light","small",22,"injured","NO",70,"Licensed",60,33.33
121427,3,1,"LOCAL","front","light","light","small",84,"dead","NO",30,"Licensed",45,33.33
121445,3,1,"LOCAL","side","light","light","small",19,"dead","NO",45,"Licensed",45,33.33
121458,3,1,"LOCAL","front","light","light","small",87,"dead","NO",20,"Licensed",55,33.33
121471,3,1,"LOCAL","front","light","light","LORRY",64,"dead","NO",70,"Licensed",70,33.33
121490,3,1,"LOCAL","front","light","light","small",51,"injured","NO",55,"Licensed",55,33.33
121497,2,1,"highway","front","dark","light","small",21,"injured","NO",75,"Licensed",45,50.00
121500,2,1,"LOCAL","front","dark","light","small",19,"injured","Yes",60,"Licensed",60,50.00
121522,2,1,"LOCAL","front","dark","light","small",70,"dead","NO",45,"Licensed",50,50.00
121524,2,1,"LOCAL","side","dark","light","small",26,"injured","NO",75,"Licensed",70,50.00
121526,3,1,"LOCAL","front","dark","light","small",54,"injured","Yes",55,"Licensed",55,33.33
121528,3,2,"LOCAL","front","dark","light","LORRY",43,"dead","Yes",55,"Licensed",55,66.67
121529,5,1,"LOCAL","front","light","light","small",41,"injured","NO",70,"Licensed",70,20.00
121537,2,2,"LOCAL","front","dark","light","small",25,"dead","Yes",60,"Licensed",60,100.00
121545,2,1,"LOCAL","front","dark","light","small",49,"dead","NO",70,"Licensed",55,50.00
121557,4,1,"LOCAL","front","dark","mod","small",43,"injured","Yes",40,"Licensed",25,25.00
121569,5,1,"LOCAL","front","light","light","LORRY",51,"dead","NO",65,"Licensed",65,20.00
121572,5,1,"LOCAL","front","light","mod","small",31,"dead","NO",50,"Licensed",55,20.00
121574,2,1,"LOCAL","front","dark","light","small",23,"injured","Yes",55,"Licensed",45,50.00
121579,2,1,"LOCAL","front","light","light","LORRY",57,"dead","NO",55,"Licensed",55,50.00
